    type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands
Sheffield Stand,-6.264374256,53.34549008,315641.25,234185.215,"Essex street, outside the shack restaurant.",5,High,50,100,High,High,Low,,Good,Unknown,,,,,,,,,5
Sheffield Stand,-6.26306802,53.34492803,315729.759,234124.785,"Cope street, behind central bank",7,High,75,100,Medium,High,Low,,Good,Unknown,,,,,,,,,7
Sheffield Stand,-6.262601316,53.34562138,315758.961,234202.699,"Temple bar, outside Rory's fishing shop.",4,High,85,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.260741204,53.34577029,315882.428,234222.287,"Fleet Street, outside hard rock cafe",3,High,50,100,High,High,Low,All,Good,Unknown,,,,,,,,,3
Sheffield Stand,-6.25832051,53.34702084,316040.233,234365.381,Burgh quay,2,High,50,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Sheffield Stand,-6.290792674,53.33423022,313911.955,232889.735,Cork street,3,Medium,33,100,Medium,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.259278059,53.34617781,315978.757,234270.012,"Westmorleland street, outside Bewleys",4,High,75,100,High,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.271794587,53.34257811,315154.95,233849.174,Christchurch square,4,High,40,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4
Sheffield Stand,-6.277763844,53.34286315,314756.643,233871.286,Thomas street outside st johns priory,9,High,33,100,High,High,Low,All,Good,Visible,,,,,,,,,9
Sheffield Stand,-6.272678375,53.34495686,315089.685,234112.463,Merchants quay,4,High,,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4
Sheffield Stand,-6.294609457,53.34817688,313620.631,234435.677,Parkgate street outside Landis\subwau,3,High,50,100,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.26865238,53.34804559,315349.455,234462.679,"Capel street, outside mcQuillan tools",6,High,75,100,,High,Low,All,Good,Unknown,,,,,,,,,6
Sheffield Stand,-6.250543445,53.33552355,316589.477,233098.606,Fitzwilliam street upper,4,High,,100,High,High,Low,All,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.248227358,53.33788988,316737.287,233365.719,Fitzwilliam street lower,4,High,50,100,High,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.248077154,53.33777617,316747.602,233353.311,Fitzwilliam street lower,6,High,25,100,High,High,Low,All,Good,Visible,,,,,,,,,6
Sheffield Stand,-6.274377555,53.35003177,314962.874,234674.474,Church street Londis,4,High,50,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4
Sheffield Stand,-6.277834922,53.34944898,314734.224,234604.059,Top of Smithfield,6,High,25,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,6
